Tanggal,BOR
17-Sep-20,0.45
18-Sep-20,0.46
19-Sep-20,0.46
20-Sep-20,0.46
21-Sep-20,0.46
22-Sep-20,0.47
23-Sep-20,0.48
24-Sep-20,0.48
25-Sep-20,0.49
26-Sep-20,0.47
27-Sep-20,0.48
28-Sep-20,0.48
29-Sep-20,0.5
30-Sep-20,0.5
1-Oct-20,0.51
2-Oct-20,0.5
3-Oct-20,0.53
4-Oct-20,0.54
5-Oct-20,0.54
6-Oct-20,0.53
7-Oct-20,0.54
8-Oct-20,0.54
9-Oct-20,0.54
10-Oct-20,0.55
11-Oct-20,0.56
12-Oct-20,0.56
13-Oct-20,0.55
14-Oct-20,0.54
15-Oct-20,0.58
16-Oct-20,0.57
17-Oct-20,0.58
18-Oct-20,0.58
19-Oct-20,0.57
20-Oct-20,0.59
21-Oct-20,0.55
22-Oct-20,0.54
23-Oct-20,0.55
24-Oct-20,0.54
25-Oct-20,0.53
26-Oct-20,0.56
27-Oct-20,0.56
28-Oct-20,0.54
29-Oct-20,0.55
30-Oct-20,0.55
31-Oct-20,0.54
1-Nov-20,0.55
2-Nov-20,0.56
3-Nov-20,0.59
4-Nov-20,0.61
5-Nov-20,0.62
6-Nov-20,0.64
7-Nov-20,0.69
8-Nov-20,0.73
9-Nov-20,0.76
10-Nov-20,0.77
11-Nov-20,0.9
12-Nov-20,0.87
13-Nov-20,0.88
14-Nov-20,0.88
15-Nov-20,0.89
16-Nov-20,0.89
17-Nov-20,0.89
18-Nov-20,0.88
19-Nov-20,0.88
20-Nov-20,0.89
21-Nov-20,0.85
22-Nov-20,0.89
23-Nov-20,0.91
24-Nov-20,0.9
25-Nov-20,0.91
26-Nov-20,0.91
27-Nov-20,0.92
28-Nov-20,0.9
29-Nov-20,0.9
30-Nov-20,0.88
1-Dec-20,0.86
2-Dec-20,0.89
3-Dec-20,0.87
4-Dec-20,0.86
5-Dec-20,0.89
6-Dec-20,0.91
7-Dec-20,0.93
8-Dec-20,0.93
9-Dec-20,0.94
10-Dec-20,0.91
11-Dec-20,0.88
12-Dec-20,0.89
13-Dec-20,0.91
14-Dec-20,0.91
15-Dec-20,0.9
16-Dec-20,0.89
17-Dec-20,0.91
18-Dec-20,0.91
19-Dec-20,0.91
20-Dec-20,0.91
21-Dec-20,0.88
22-Dec-20,0.88
23-Dec-20,0.9
24-Dec-20,0.88
25-Dec-20,0.89
26-Dec-20,0.92
27-Dec-20,0.92
28-Dec-20,0.92
29-Dec-20,0.91
30-Dec-20,0.91
31-Dec-20,0.91
1-Jan-21,0.92
2-Jan-21,0.91
3-Jan-21,0.9
4-Jan-21,0.89
5-Jan-21,0.89
6-Jan-21,0.9
7-Jan-21,0.89
8-Jan-21,0.88
9-Jan-21,0.89
10-Jan-21,0.9
11-Jan-21,0.91
12-Jan-21,0.91
13-Jan-21,0.91
14-Jan-21,0.9
15-Jan-21,0.89
16-Jan-21,0.89
17-Jan-21,0.91
18-Jan-21,0.9
19-Jan-21,0.81
20-Jan-21,0.8
21-Jan-21,0.79
22-Jan-21,0.76
23-Jan-21,0.75
24-Jan-21,0.76
25-Jan-21,0.75
26-Jan-21,0.74
27-Jan-21,0.74
28-Jan-21,0.73
29-Jan-21,0.67
30-Jan-21,0.7
31-Jan-21,0.71
1-Feb-21,0.7
2-Feb-21,0.71
3-Feb-21,0.66
4-Feb-21,0.65
5-Feb-21,0.64
6-Feb-21,0.64
7-Feb-21,0.65
8-Feb-21,0.64
9-Feb-21,0.62
10-Feb-21,0.59
11-Feb-21,0.6
12-Feb-21,0.62
13-Feb-21,0.6
14-Feb-21,0.63
15-Feb-21,0.64
16-Feb-21,0.63
17-Feb-21,0.62
18-Feb-21,0.59
19-Feb-21,0.6
20-Feb-21,0.6
21-Feb-21,0.61
22-Feb-21,0.62
23-Feb-21,0.62
24-Feb-21,0.6
25-Feb-21,0.6
26-Feb-21,0.6
27-Feb-21,0.59
28-Feb-21,0.58
1-Mar-21,0.59
2-Mar-21,0.58
3-Mar-21,0.57
4-Mar-21,0.56
5-Mar-21,0.6
6-Mar-21,0.59
7-Mar-21,0.58
8-Mar-21,0.56
9-Mar-21,0.56
10-Mar-21,0.56
11-Mar-21,0.56
12-Mar-21,0.57
13-Mar-21,0.58
14-Mar-21,0.58
15-Mar-21,0.57
16-Mar-21,0.58
17-Mar-21,0.57
18-Mar-21,0.57
19-Mar-21,0.58
20-Mar-21,0.57
21-Mar-21,0.57
22-Mar-21,0.59
23-Mar-21,0.6
24-Mar-21,0.59
25-Mar-21,0.59
26-Mar-21,0.56
27-Mar-21,0.57
28-Mar-21,0.57
29-Mar-21,0.57
30-Mar-21,0.57
31-Mar-21,0.56
1-Apr-21,0.57
2-Apr-21,0.58
3-Apr-21,0.59
4-Apr-21,0.58
5-Apr-21,0.59
6-Apr-21,0.59
7-Apr-21,0.59
8-Apr-21,0.58
9-Apr-21,0.59
10-Apr-21,0.58
11-Apr-21,0.57
12-Apr-21,0.59
13-Apr-21,0.6
14-Apr-21,0.59
15-Apr-21,0.58
16-Apr-21,0.58
17-Apr-21,0.6
18-Apr-21,0.61
19-Apr-21,0.61
20-Apr-21,0.63
21-Apr-21,0.63
22-Apr-21,0.62
23-Apr-21,0.6
24-Apr-21,0.6
25-Apr-21,0.61
26-Apr-21,0.61
27-Apr-21,0.6
28-Apr-21,0.58
29-Apr-21,0.57
30-Apr-21,0.57
1-May-21,0.54
2-May-21,0.55
3-May-21,0.55
4-May-21,0.52
5-May-21,0.52
6-May-21,0.5
7-May-21,0.5
8-May-21,0.48
9-May-21,0.48
10-May-21,0.49
11-May-21,0.49
12-May-21,0.49
13-May-21,0.49
14-May-21,0.48
15-May-21,0.47
16-May-21,0.47
17-May-21,0.48
18-May-21,0.48
19-May-21,0.49
20-May-21,0.54
21-May-21,0.54
22-May-21,0.5
23-May-21,0.52
24-May-21,0.57
25-May-21,0.57
26-May-21,0.59
27-May-21,0.64
28-May-21,0.65
29-May-21,0.66
30-May-21,0.66
31-May-21,0.68
1-Jun-21,0.73
2-Jun-21,0.73
3-Jun-21,0.75
4-Jun-21,0.77
5-Jun-21,0.8
6-Jun-21,0.79
7-Jun-21,0.81
8-Jun-21,0.78
9-Jun-21,0.79
10-Jun-21,0.81
11-Jun-21,0.86
12-Jun-21,0.86
13-Jun-21,0.89
14-Jun-21,0.9
15-Jun-21,0.9
16-Jun-21,0.91
17-Jun-21,0.92
18-Jun-21,0.92
19-Jun-21,0.92
20-Jun-21,0.92
21-Jun-21,0.94
22-Jun-21,0.95
23-Jun-21,0.94
24-Jun-21,0.92
25-Jun-21,0.94
26-Jun-21,0.97
27-Jun-21,0.96
28-Jun-21,0.96
29-Jun-21,0.95
30-Jun-21,0.95
1-Jul-21,0.93
2-Jul-21,0.91
3-Jul-21,0.91
4-Jul-21,0.92
5-Jul-21,0.93
6-Jul-21,0.94
7-Jul-21,0.91
8-Jul-21,0.91
9-Jul-21,0.91
10-Jul-21,0.91
11-Jul-21,0.91
12-Jul-21,0.92
13-Jul-21,0.92
14-Jul-21,0.9
15-Jul-21,0.9
16-Jul-21,0.89
17-Jul-21,0.88
18-Jul-21,0.89
19-Jul-21,0.84
20-Jul-21,0.84
21-Jul-21,0.81
22-Jul-21,0.78
23-Jul-21,0.78
24-Jul-21,0.76
25-Jul-21,0.76
26-Jul-21,0.74
27-Jul-21,0.71
28-Jul-21,0.67
